É SPI?,É CORRENTISTA?,EMPREGADOR,CONCEITO,FONTE
SPI,CORR,OP,EMP,BUREAU
SPI,CORR,OP,EMP,RAIS/ESOCIAL
SPI,CORR,OP,EMP,FLXCC
SPI,CORR,OP,FXSLR,RAIS/ESOCIAL
SPI,CORR,OP,FXSLR,FLXCC
SPI,CORR,OP,FXSLR,TRIAD
SPI,CORR,OP,FXSLR,FOPA
SPI,CORR,OP,TRNVR,RAIS/ESOCIAL
SPI,CORR,OP,TRNVR,PTRANS
SPI,CORR,OP,TRNVR,FOPA
SPI,CORR,EP,EMP,BUREAU
SPI,CORR,EP,EMP,RAIS/ESOCIAL
SPI,CORR,EP,EMP,FLXCC
SPI,CORR,EP,FXSLR,RAIS/ESOCIAL
SPI,CORR,EP,FXSLR,FLXCC
SPI,CORR,EP,FXSLR,TRIAD
SPI,CORR,EP,FXSLR,FOPA
SPI,CORR,EP,TRNVR,RAIS/ESOCIAL
SPI,CORR,EP,TRNVR,FOPA
SPI,NCOR,OP,EMP,BUREAU
SPI,NCOR,OP,EMP,RAIS/ESOCIAL
SPI,NCOR,OP,FXSLR,RAIS/ESOCIAL
SPI,NCOR,OP,FXSLR,TRIAD
SPI,NCOR,OP,FXSLR,FOPA
SPI,NCOR,OP,TRNVR,RAIS/ESOCIAL
SPI,NCOR,OP,TRNVR,PTRANS
SPI,NCOR,OP,TRNVR,FOPA
SPI,NCOR,EP,EMP,BUREAU
SPI,NCOR,EP,EMP,RAIS/ESOCIAL
SPI,NCOR,EP,FXSLR,RAIS/ESOCIAL
SPI,NCOR,EP,FXSLR,TRIAD
SPI,NCOR,EP,FXSLR,FOPA
SPI,NCOR,EP,TRNVR,RAIS/ESOCIAL
SPI,NCOR,EP,TRNVR,FOPA
NSPI,CORR,OP,EMP,BUREAU
NSPI,CORR,OP,EMP,RAIS/ESOCIAL
NSPI,CORR,OP,EMP,FLXCC
NSPI,CORR,OP,FXSLR,BUREAU
NSPI,CORR,OP,FXSLR,RAIS/ESOCIAL
NSPI,CORR,OP,FXSLR,TRIAD
NSPI,CORR,OP,TRNVR,RAIS/ESOCIAL
NSPI,CORR,OP,TRNVR,PTRANS
NSPI,CORR,EP,EMP,BUREAU
NSPI,CORR,EP,EMP,RAIS/ESOCIAL
NSPI,CORR,EP,EMP,FLXCC
NSPI,CORR,EP,FXSLR,RAIS/ESOCIAL
NSPI,CORR,EP,FXSLR,FLXCC
NSPI,CORR,EP,FXSLR,TRIAD
NSPI,CORR,EP,TRNVR,RAIS/ESOCIAL
NSPI,NCOR,OP,EMP,BUREAU
NSPI,NCOR,OP,EMP,RAIS/ESOCIAL
NSPI,NCOR,OP,FXSLR,RAIS/ESOCIAL
NSPI,NCOR,OP,TRNVR,PTRANS
NSPI,NCOR,EP,EMP,BUREAU
NSPI,NCOR,EP,EMP,RAIS/ESOCIAL
NSPI,NCOR,EP,FXSLR,RAIS/ESOCIAL
NSPI,NCOR,EP,TRNVR,RAIS/ESOCIAL
